"sample_cycle","observed_at_local","test_name","condition_phase","basket_id","emitter_location","placement_label","sensor_position_label","device_name","ip","role","expected_device_id","device_id","device_id_match","dht_sensor_id","moisture_sensor_id","device_timestamp","temperature_f","humidity_percent","moisture_index","soil_raw_adc","watering","last_watered_time","last_watering_duration","note","error"
"16","2026-05-20 21:17:42","phase6k1_b3e1_post_reinsert_no_touch_settling","no_watering_no_touch_settling","B3","B3E1","B3E1 sensors left untouched after reinsertion repeatability test","B3E1-B after reinsertion repeatability test","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 21:17:40","78.4","89.0","73.0","1871","False","2026-05-20 16:01:50","40","No watering; no touching; checking post-reinsertion settling/drift",""
"16","2026-05-20 21:17:42","phase6k1_b3e1_post_reinsert_no_touch_settling","no_watering_no_touch_settling","B3","B3E1","B3E1 sensors left untouched after reinsertion repeatability test","B3E1-A after reinsertion repeatability test","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 21:17:41","77.9","77.0","70.0","1955","False","N/A","0","No watering; no touching; checking post-reinsertion settling/drift",""
"17","2026-05-20 21:18:42","phase6k1_b3e1_post_reinsert_no_touch_settling","no_watering_no_touch_settling","B3","B3E1","B3E1 sensors left untouched after reinsertion repeatability test","B3E1-B after reinsertion repeatability test","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 21:18:40","78.1","89.0","73.0","1871","False","2026-05-20 16:01:50","40","No watering; no touching; checking post-reinsertion settling/drift",""
"17","2026-05-20 21:18:42","phase6k1_b3e1_post_reinsert_no_touch_settling","no_watering_no_touch_settling","B3","B3E1","B3E1 sensors left untouched after reinsertion repeatability test","B3E1-A after reinsertion repeatability test","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 21:18:41","77.7","77.0","69.0","1985","False","N/A","0","No watering; no touching; checking post-reinsertion settling/drift",""
"18","2026-05-20 21:19:42","phase6k1_b3e1_post_reinsert_no_touch_settling","no_watering_no_touch_settling","B3","B3E1","B3E1 sensors left untouched after reinsertion repeatability test","B3E1-B after reinsertion repeatability test","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 21:19:41","78.1","90.0","73.0","1872","False","2026-05-20 16:01:50","40","No watering; no touching; checking post-reinsertion settling/drift",""
"18","2026-05-20 21:19:42","phase6k1_b3e1_post_reinsert_no_touch_settling","no_watering_no_touch_settling","B3","B3E1","B3E1 sensors left untouched after reinsertion repeatability test","B3E1-A after reinsertion repeatability test","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 21:19:41","78.3","77.0","69.0","1968","False","N/A","0","No watering; no touching; checking post-reinsertion settling/drift",""
"19","2026-05-20 21:20:42","phase6k1_b3e1_post_reinsert_no_touch_settling","no_watering_no_touch_settling","B3","B3E1","B3E1 sensors left untouched after reinsertion repeatability test","B3E1-B after reinsertion repeatability test","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 21:20:41","78.4","89.0","73.0","1874","False","2026-05-20 16:01:50","40","No watering; no touching; checking post-reinsertion settling/drift",""
"19","2026-05-20 21:20:42","phase6k1_b3e1_post_reinsert_no_touch_settling","no_watering_no_touch_settling","B3","B3E1","B3E1 sensors left untouched after reinsertion repeatability test","B3E1-A after reinsertion repeatability test","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 21:20:41","75.9","78.0","70.0","1962","False","N/A","0","No watering; no touching; checking post-reinsertion settling/drift",""
"20","2026-05-20 21:21:43","phase6k1_b3e1_post_reinsert_no_touch_settling","no_watering_no_touch_settling","B3","B3E1","B3E1 sensors left untouched after reinsertion repeatability test","B3E1-B after reinsertion repeatability test","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 21:21:41","78.1","89.0","74.0","1867","False","2026-05-20 16:01:50","40","No watering; no touching; checking post-reinsertion settling/drift",""
"20","2026-05-20 21:21:43","phase6k1_b3e1_post_reinsert_no_touch_settling","no_watering_no_touch_settling","B3","B3E1","B3E1 sensors left untouched after reinsertion repeatability test","B3E1-A after reinsertion repeatability test","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 21:21:42","76.1","78.0","69.0","1977","False","N/A","0","No watering; no touching; checking post-reinsertion settling/drift",""
