"row_type","sample_cycle","observed_at_local","seconds_since_start","seconds_since_move","test_name","phase_label","basket_id","emitter_location","placement_label","sensor_position_label","device_name","ip","role","expected_device_id","device_id","device_id_match","dht_sensor_id","moisture_sensor_id","device_timestamp","temperature_f","humidity_percent","moisture_index","soil_raw_adc","watering","last_watered_time","last_watering_duration","note","error"
"event_marker","","2026-05-20 23:23:10","0","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","experiment_start","","","Experiment start: SM01 at B3E1; SM02 starts near B3E1 before planned move to B6E2.","","event_marker","","","","","","","","","","","","","","","","Experiment start: SM01 at B3E1; SM02 starts near B3E1 before planned move to B6E2.",""
"data","6","2026-05-20 23:24:25","75.6","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 installed sensor location - not moved","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 23:24:25","77.0","93.0","76.0","1817","False","2026-05-20 16:01:50","40","Continuous no-watering capture; scout sensor move/settling experiment",""
"data","6","2026-05-20 23:24:25","75.8","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 scout starting location before move","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 23:24:25","75.9","82.0","71.0","1933","False","N/A","0","Continuous no-watering capture; scout sensor move/settling experiment",""
"data","7","2026-05-20 23:24:40","90","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 installed sensor location - not moved","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 23:24:39","77.7","93.0","75.0","1825","False","2026-05-20 16:01:50","40","Continuous no-watering capture; scout sensor move/settling experiment",""
"data","7","2026-05-20 23:24:40","90.1","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 scout starting location before move","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 23:24:39","75.4","82.0","70.0","1942","False","N/A","0","Continuous no-watering capture; scout sensor move/settling experiment",""
"data","8","2026-05-20 23:24:55","105.2","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 installed sensor location - not moved","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 23:24:54","77.5","93.0","75.0","1824","False","2026-05-20 16:01:50","40","Continuous no-watering capture; scout sensor move/settling experiment",""
"data","8","2026-05-20 23:24:55","105.4","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 scout starting location before move","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 23:24:55","75.6","83.0","70.0","1954","False","N/A","0","Continuous no-watering capture; scout sensor move/settling experiment",""
"data","9","2026-05-20 23:25:10","120.5","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 installed sensor location - not moved","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 23:25:10","77.7","93.0","75.0","1820","False","2026-05-20 16:01:50","40","Continuous no-watering capture; scout sensor move/settling experiment",""
"data","9","2026-05-20 23:25:10","120.6","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 scout starting location before move","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 23:25:10","76.8","83.0","71.0","1919","False","N/A","0","Continuous no-watering capture; scout sensor move/settling experiment",""
"data","10","2026-05-20 23:25:24","134.7","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 installed sensor location - not moved","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 23:25:24","78.3","93.0","75.0","1822","False","2026-05-20 16:01:50","40","Continuous no-watering capture; scout sensor move/settling experiment",""
"data","10","2026-05-20 23:25:24","134.9","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 scout starting location before move","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 23:25:24","75.4","83.0","70.0","1952","False","N/A","0","Continuous no-watering capture; scout sensor move/settling experiment",""
"data","11","2026-05-20 23:25:40","150","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 installed sensor location - not moved","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 23:25:39","77.4","93.0","76.0","1813","False","2026-05-20 16:01:50","40","Continuous no-watering capture; scout sensor move/settling experiment",""
"data","11","2026-05-20 23:25:40","150.1","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 scout starting location before move","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 23:25:39","76.5","83.0","70.0","1955","False","N/A","0","Continuous no-watering capture; scout sensor move/settling experiment",""
"data","12","2026-05-20 23:25:55","165.2","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 installed sensor location - not moved","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 23:25:54","77.9","93.0","75.0","1826","False","2026-05-20 16:01:50","40","Continuous no-watering capture; scout sensor move/settling experiment",""
