"sample_cycle","observed_at_local","test_name","condition_phase","basket_id","emitter_location","placement_label","script_start","planned_water_start","planned_water_end","planned_water_duration_s","device_name","ip","role","expected_device_id","device_id","device_id_match","dht_sensor_id","moisture_sensor_id","device_timestamp","temperature_f","humidity_percent","moisture_index","soil_raw_adc","watering","last_watered_time","last_watering_duration","visual_note","holdall_moisture_note","error"
"16","2026-05-19 20:40:00","phase6k1_b3e1_40s_watering_response","post_watering_0_to_10_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 20:39:57","77.9","72.0","76.0","1814","False","N/A","0","","",""
"17","2026-05-19 20:40:15","phase6k1_b3e1_40s_watering_response","post_watering_0_to_10_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 20:40:13","79.2","82.0","74.0","1857","False","2026-05-19 20:38:41","40","","",""
"17","2026-05-19 20:40:15","phase6k1_b3e1_40s_watering_response","post_watering_0_to_10_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 20:40:13","77.2","72.0","75.0","1820","False","N/A","0","","",""
"18","2026-05-19 20:40:30","phase6k1_b3e1_40s_watering_response","post_watering_0_to_10_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 20:40:28","78.8","82.0","74.0","1854","False","2026-05-19 20:38:41","40","","",""
"18","2026-05-19 20:40:30","phase6k1_b3e1_40s_watering_response","post_watering_0_to_10_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 20:40:28","77.9","72.0","75.0","1827","False","N/A","0","","",""
"19","2026-05-19 20:40:46","phase6k1_b3e1_40s_watering_response","post_watering_0_to_10_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 20:40:43","79.7","82.0","74.0","1847","False","2026-05-19 20:38:41","40","","",""
"19","2026-05-19 20:40:46","phase6k1_b3e1_40s_watering_response","post_watering_0_to_10_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 20:40:43","78.3","72.0","76.0","1814","False","N/A","0","","",""
"20","2026-05-19 20:41:01","phase6k1_b3e1_40s_watering_response","post_watering_0_to_10_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 20:40:59","79.9","82.0","74.0","1860","False","2026-05-19 20:38:41","40","","",""
"20","2026-05-19 20:41:01","phase6k1_b3e1_40s_watering_response","post_watering_0_to_10_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 20:40:58","78.1","72.0","75.0","1826","False","N/A","0","","",""
"21","2026-05-19 20:41:16","phase6k1_b3e1_40s_watering_response","post_watering_0_to_10_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 20:41:14","79.7","82.0","73.0","1869","False","2026-05-19 20:38:41","40","","",""
